"Stock_Name","Hour","Datetime","Max_High"
"BYND","09","2020-05-14 09:39:00-04:00","137.97"
"BYND","10","2020-05-14 10:31:00-04:00","139.56"
"BYND","11","2020-05-14 11:15:00-04:00","141.0"
"BYND","12","2020-05-14 12:57:00-04:00","138.24"
"BYND","13","2020-05-14 13:00:00-04:00","137.79"
"BYND","14","2020-05-14 14:12:00-04:00","135.73"
"BYND","15","2020-05-14 15:54:00-04:00","135.85"
"DDOG","09","2020-05-14 09:32:00-04:00","67.25"
"DDOG","10","2020-05-14 10:09:00-04:00","66.55"
"DDOG","11","2020-05-14 11:06:00-04:00","65.0"
"DDOG","11","2020-05-14 11:05:00-04:00","65.0"
"DDOG","11","2020-05-14 11:20:00-04:00","65.0"
"DDOG","11","2020-05-14 11:16:00-04:00","65.0"
"DDOG","12","2020-05-14 12:54:00-04:00","64.88"
"DDOG","13","2020-05-14 13:02:00-04:00","65.0"
"DDOG","14","2020-05-14 14:48:00-04:00","64.13"
"DDOG","15","2020-05-14 15:54:00-04:00","65.87"
"FB","09","2020-05-14 09:37:00-04:00","203.87"
"FB","10","2020-05-14 10:53:00-04:00","203.35"
"FB","11","2020-05-14 11:37:00-04:00","204.27"
"FB","12","2020-05-14 12:56:00-04:00","205.1"
"FB","13","2020-05-14 13:32:00-04:00","205.64"
"FB","14","2020-05-14 14:29:00-04:00","204.99"
"FB","15","2020-05-14 15:59:00-04:00","206.93"
"NFLX","09","2020-05-14 09:36:00-04:00","452.0"
"NFLX","10","2020-05-14 10:08:00-04:00","446.51"
"NFLX","11","2020-05-14 11:16:00-04:00","440.64"
"NFLX","12","2020-05-14 12:59:00-04:00","440.34"
"NFLX","13","2020-05-14 13:49:00-04:00","441.78"
"NFLX","14","2020-05-14 14:30:00-04:00","441.44"
"NFLX","15","2020-05-14 15:59:00-04:00","442.14"
"OKTA","09","2020-05-14 09:38:00-04:00","178.0"
"OKTA","09","2020-05-14 09:39:00-04:00","178.0"
"OKTA","10","2020-05-14 10:10:00-04:00","177.81"
"OKTA","11","2020-05-14 11:37:00-04:00","179.89"
"OKTA","12","2020-05-14 12:57:00-04:00","179.01"
"OKTA","13","2020-05-14 13:03:00-04:00","178.5"
"OKTA","13","2020-05-14 13:02:00-04:00","178.5"
"OKTA","14","2020-05-14 14:32:00-04:00","177.81"
"OKTA","15","2020-05-14 15:05:00-04:00","177.85"
"PINS","09","2020-05-14 09:32:00-04:00","16.54"
"PINS","09","2020-05-14 09:31:00-04:00","16.54"
"PINS","10","2020-05-14 10:54:00-04:00","16.67"
"PINS","10","2020-05-14 10:55:00-04:00","16.67"
"PINS","10","2020-05-14 10:52:00-04:00","16.67"
"PINS","10","2020-05-14 10:53:00-04:00","16.67"
"PINS","11","2020-05-14 11:19:00-04:00","16.94"
"PINS","11","2020-05-14 11:18:00-04:00","16.94"
"PINS","12","2020-05-14 12:57:00-04:00","17.04"
"PINS","13","2020-05-14 13:26:00-04:00","17.03"
"PINS","14","2020-05-14 14:21:00-04:00","16.91"
"PINS","14","2020-05-14 14:22:00-04:00","16.91"
"PINS","15","2020-05-14 15:51:00-04:00","17.09"
"PINS","15","2020-05-14 15:50:00-04:00","17.09"
"SHOP","09","2020-05-14 09:31:00-04:00","758.09"
"SHOP","10","2020-05-14 10:10:00-04:00","752.0"
"SHOP","10","2020-05-14 10:12:00-04:00","752.0"
"SHOP","11","2020-05-14 11:16:00-04:00","757.47"
"SHOP","12","2020-05-14 12:57:00-04:00","754.16"
"SHOP","13","2020-05-14 13:01:00-04:00","755.82"
"SHOP","14","2020-05-14 14:57:00-04:00","751.8"
"SHOP","15","2020-05-14 15:50:00-04:00","755.57"
"SNAP","09","2020-05-14 09:31:00-04:00","16.73"
"SNAP","10","2020-05-14 10:53:00-04:00","16.93"
"SNAP","10","2020-05-14 10:54:00-04:00","16.93"
"SNAP","11","2020-05-14 11:07:00-04:00","17.15"
"SNAP","12","2020-05-14 12:57:00-04:00","16.99"
"SNAP","13","2020-05-14 13:31:00-04:00","17.0"
"SNAP","14","2020-05-14 14:58:00-04:00","16.92"
"SNAP","14","2020-05-14 14:57:00-04:00","16.92"
"SNAP","15","2020-05-14 15:09:00-04:00","16.97"
"SNAP","15","2020-05-14 15:08:00-04:00","16.97"
"SNAP","15","2020-05-14 15:04:00-04:00","16.97"
"SQ","09","2020-05-14 09:46:00-04:00","72.81"
"SQ","10","2020-05-14 10:59:00-04:00","75.59"
"SQ","11","2020-05-14 11:09:00-04:00","76.49"
"SQ","12","2020-05-14 12:59:00-04:00","76.75"
"SQ","13","2020-05-14 13:48:00-04:00","77.18"
"SQ","14","2020-05-14 14:59:00-04:00","77.26"
"SQ","15","2020-05-14 15:57:00-04:00","78.25"
"TTD","09","2020-05-14 09:31:00-04:00","289.45"
"TTD","10","2020-05-14 10:53:00-04:00","290.07"
"TTD","11","2020-05-14 11:18:00-04:00","296.86"
"TTD","12","2020-05-14 12:57:00-04:00","294.5"
"TTD","13","2020-05-14 13:31:00-04:00","296.0"
"TTD","14","2020-05-14 14:59:00-04:00","295.77"
"TTD","15","2020-05-14 15:24:00-04:00","297.67"
